© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr p-value	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
-0.111	6.94E-06	P01023	 	A2M	alpha-2-macroglobulin	Extracellular Space	transporter	 	
0.253	1.43E-04	Q9NRG9	 	AAAS	aladin WD repeat nucleoporin	Nucleus	other	 	
-0.820	5.19E-04	Q86V21	 	AACS	acetoacetyl-CoA synthetase	Cytoplasm	enzyme	 	
-0.423	1.95E-01	A0A096LP25	D	AAK1	AP2 associated kinase 1	Cytoplasm	kinase	LP-935509, SM1-71	
-0.316	5.45E-04	Q2M2I8	D	AAK1	AP2 associated kinase 1	Cytoplasm	kinase	LP-935509, SM1-71	
0.826	8.49E-02	A2A2Q9	 	AAR2	AAR2 splicing factor	Other	other	 	
-0.245	2.08E-07	P49588	 	AARS1	alanyl-tRNA synthetase 1	Cytoplasm	enzyme	 	
0.172	9.80E-04	Q5JTZ9	 	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Cytoplasm	enzyme	 	
-0.206	2.86E-02	Q9NY61	 	AATF	apoptosis antagonizing transcription factor	Nucleus	transcription regulator	 	
0.131	1.10E-05	P08183	 	ABCB1	ATP binding cassette subfamily B member 1	Plasma Membrane	transporter	dofequidar, encequidar, tariquidar, OC 144-093, olomoucine II, valspodar, eicosapentenoic acid	
0.153	1.05E-03	Q9NRK6	 	ABCB10	ATP binding cassette subfamily B member 10	Cytoplasm	transporter	 	
-0.202	3.35E-03	P33527	 	ABCC1	ATP binding cassette subfamily C member 1	Plasma Membrane	transporter	sulfinpyrazone	
0.062	1.13E-03	P33897	 	ABCD1	ATP binding cassette subfamily D member 1	Plasma Membrane	transporter	 	
-0.148	2.71E-04	P28288	 	ABCD3	ATP binding cassette subfamily D member 3	Cytoplasm	transporter	 	
-0.447	1.38E-04	P61221	 	ABCE1	ATP binding cassette subfamily E member 1	Cytoplasm	transporter	 	
-0.449	2.16E-04	Q8NE71	 	ABCF1	ATP binding cassette subfamily F member 1	Cytoplasm	transporter	 	
-0.220	8.91E-03	Q9UG63	 	ABCF2	ATP binding cassette subfamily F member 2	Cytoplasm	transporter	 	
-0.838	8.63E-04	Q9NUQ8	 	ABCF3	ATP binding cassette subfamily F member 3	Other	transporter	 	
-0.342	9.57E-06	Q9NUJ1	 	ABHD10	abhydrolase domain containing 10, depalmitoylase	Cytoplasm	enzyme	 	
-0.110	1.48E-02	Q8NFV4	 	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
-0.040	9.95E-06	Q8N2K0	 	ABHD12	abhydrolase domain containing 12, lysophospholipase	Plasma Membrane	enzyme	 	
-0.991	3.84E-03	A0A1B0GW23	 	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Other	other	 	
-1.015	3.38E-03	Q96IU4	 	ABHD14B	abhydrolase domain containing 14B	Cytoplasm	enzyme	 	
-0.004	1.81E-05	A0A0G2JJD3	 	ABHD16A	abhydrolase domain containing 16A, phospholipase	Other	enzyme	 	
0.087	3.62E-03	Q5VST6	 	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Plasma Membrane	peptidase	 	
-0.509	4.05E-03	Q8IZP0	 	ABI1	abl interactor 1	Cytoplasm	other	 	
-0.270	4.96E-05	D3YTG3	 	ABI3BP	ABI family member 3 binding protein	Extracellular Space	other	 	
-0.158	5.53E-03	A0A1C7CYZ0	 	ABR	ABR activator of RhoGEF and GTPase	Cytoplasm	other	 	
-1.306	6.50E-06	Q9P1F3	 	ABRACL	ABRA C-terminal like	Other	other	 	
-0.240	6.45E-03	Q15018	 	ABRAXAS2	abraxas 2, BRISC complex subunit	Nucleus	other	 	
-0.030	1.30E-03	P09110	 	ACAA1	acetyl-CoA acyltransferase 1	Cytoplasm	enzyme	trimetazidine	
