© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CST5	 	other	Inhibited	-2.294	3.02E-19	ACAT2,ADRM1,ADSL,AHCTF1,ARF6,BCAP31,CEBPZ,CEP170,CHD3,CNBP,COPS7A,COPS8,CORO1A,DCP1A,DDT,DDX21,DECR1,DKC1,DNAJA3,DR1,DRAP1,EBNA1BP2,EEF1B2,EIF2B1,EIF5B,EZR,FHL1,GNL3,HNRNPA2B1,HNRNPA3,HNRNPDL,HNRNPH1,IQGAP2,KRR1,MRM3,MSN,NCBP1,NDUFB1,NDUFB7,NIFK,NOC3L,NOL9,NOM1,NOP2,NOP53,NUMA1,PCBP1,PDLIM5,PITRM1,PPP2R2A,PPP2R5A,PRDX1,PRDX2,PRKACB,PRPF6,PYGB,RBM28,RBM3,RNASEH2B,RPF2,RRP1,RRS1,RSL1D1,S100A11,SCAF11,SLC4A1AP,SRSF1,SUPV3L1,SURF6,TOMM40,TXN,UCHL5,UTP18,VASP,VIM,VPS36,VTI1B	 
mir-122	 	microRNA	Activated	3.681	9.82E-18	ADAM10,ALDOA,ARHGAP1,CACYBP,CLIC4,CS,CSRP1,CTCF,G6PD,GNPDA1,H1-0,IQGAP1,LETM1,LMNB2,MAP4,MAPRE1,MTHFD2,NPEPPS,NUDC,NUTF2,PKM,PLIN3,PPP2CA,PXN,RBM3,RCC2,SCAF11,SERPINB6,SH3BGRL3,SH3GL1,TGM2,TPD52L2,VAV3,VIM,VPS4A,VPS4B,WARS1,YARS1	 
LONP1	0.478	peptidase	 	-0.991	1.16E-17	ACADS,ACAT1,ALDH1L2,ASNS,ATP5F1A,ATP5F1D,ATP5IF1,CHCHD3,CLPX,COX5A,ECI1,ECSIT,ETFB,GARS1,GLUD1,HNRNPA2B1,HSPA9,HSPB1,HSPD1,HSPE1,IMMT,MDH2,MRPS31,MTHFD2,OXCT1,P4HB,PDIA3,PFN1,PGAM1,S100A11,SARS1,SOD1,SSBP1,TFAM,TPM3,TUFM	 
MMP12	 	peptidase	 	 	4.06E-15	ACTN1,ACTN4,ACTR2,ACTR3,ADK,ARPC1B,CAPZA1,CAPZA2,CORO1C,DNM1L,EIF3F,FSCN1,MAP4,MAPRE1,NPEPPS,PGM1,PKM,RDX,TBCA,TLN1,TPM3,TPM4,VCL,VCP,YWHAG,YWHAH	 
TCR	 	complex	 	0.921	3.12E-14	ABCD3,ALDOA,APOA4,APOC3,APOE,ARHGEF1,ATP5F1B,ATP5PB,ATP5PD,CARD8,CDK13,CS,DHX58,ECH1,ENO1,F5,FBL,GBP4,GLUD1,GLUD2,GNPDA1,HADH,HSPA9,HSPD1,IDH2,JUN,LAMP1,LBR,LDHB,LMNB1,MDH1,MDH2,MX2,MYD88,NDUFA10,NFKB1,NME1,PA2G4,PDCD4,PFDN6,PGAM1,PGK1,PHB2,PIK3CD,PRDX6,PRKACB,RPL15,RPL17,RPL6,RPL7,RPS15,RSAD2,SDHA,SLC25A3,STAT1,TALDO1,TLE3,TPI1,TUFM,UQCRC1	 
MYC	 	transcription regulator	Inhibited	-2.753	5.20E-13	AKT1,APEX1,BAG1,BAX,BCAT1,BCOR,BZW2,CD151,CNTRL,COL1A1,COX5A,COX7A2L,CSDE1,DKC1,EIF4E,EIF4G1,ENO1,EZH2,EZR,FBL,FKBP5,G6PD,GAPDH,GCLC,GCLM,GLUD1,GLYR1,GSR,HNRNPA1,HNRNPH1,HSP90AA1,HSPB1,HSPD1,HSPH1,IDH1,IDH2,IFI35,IPO7,IQGAP2,JUN,LDHA,LGALS1,MAT2A,MTHFD1,MX2,MYD88,NAP1L1,NOLC1,NOP56,PCNA,PDCD4,PREP,RHOA,RSAD2,SAE1,SHMT2,SLC25A19,SP100,SRSF1,STAT1,STAT3,SUMO1,SUMO2,SUMO3,TMSB10/TMSB4X,TPI1,UBA2,UBE2I,UQCRQ,WRN,XPO1	 
PCGEM1	 	other	 	-0.999	1.39E-11	ALDOA,CS,ENO1,G6PD,GAPDH,GGT1,GLUD1,GSR,IDH1,IDH2,LDHA,LSS,NUDT9,OGDH,PGD,PGK1,PGLS,PKM,SDHA,SUCLG1,TALDO1	84 (2)
TP53	 	transcription regulator	 	0.603	1.03E-10	ACO1,ACSL3,ACTB,AK1,AKT1,APOBEC3C,APOE,ARPC1B,ATG7,BAX,BID,BUB1B,CARS1,CASP1,CASP4,CASP8,CDK1,CEBPA,CHD3,CSK,CYP51A1,DNM1,DNM2,ECM1,EIF2B1,ENSA,F5,FAM3C,FBXO22,FDPS,FDXR,FEN1,FKBP3,FN1,FUBP1,GART,GBP1,GDF15,GNL3,GSK3A,GSK3B,GSR,H2AX,HMGB1,HMGCS1,HSPA1A/HSPA1B,HSPA8,HTT,IGFBP3,IL1B,IL1RN,IPO7,IREB2,ISCU,LBR,LDHA,LGALS3,LSS,MAD1L1,MAP2K1,MAP2K2,MAP4,MAPK1,MAPK3,ME1,ME2,MMP2,MRPL46,MST1,MTDH,MVD,NDRG1,NME1,NOLC1,NOTCH1,NUP153,P2RX4,PCNA,PDCD6IP,PDHX,PFKP,PHGDH,PPM1A,PPP1CA,PPP1CC,PPP2CA,PPP3CA,PPP4C,PPP4R2,PPP5C,PTPN11,PTPN6,RAD23A,RALY,RBBP6,RBM34,RPS6KA1,S100A4,SEC62,SEL1L,SIRT6,SON,SQLE,STMN1,STOM,TAGLN2,TAP1,TFAM,THBD,THBS1,TMSB10/TMSB4X,TOP2A,TOP2B,TPX2,TRAF1,TUBB,XPC,XPO1,YWHAH	140 (2)
Lh	 	complex	Activated	2.227	7.88E-10	ACTB,ACTN1,ACTR2,ARHGAP1,ARL6IP5,ARPC1A,ATP2A2,ATP5IF1,BAG1,CAP2,CAPZA1,CASP4,CTNND1,DAB2,DUSP3,EZR,FDXR,FKBP5,GBP1,HSD11B1,ILK,ITPR1,JMJD6,MAP2K1,MAPK14,MAPRE2,MBD2,MMP2,PDXK,PGK1,PGRMC1,PIK3CD,PLIN3,PPIH,PPP2R1A,PRKAR1A,PSIP1,PTPRE,RANGAP1,SMARCA4,STAT1,STIP1,STK25,THBS1,TK1,TLN1,TPM1,UPP1,VCL	 
HSF1	 	transcription regulator	 	0.850	9.48E-10	ATG7,BAX,BST2,CHD3,EFEMP1,EIF4A2,FBLN1,FKBP4,HNRNPA3,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4,HSPA8,HSPB1,HSPE1,HSPH1,JMJD6,LDHA,LRIF1,LSM2,MAT2A,MBOAT7,NASP,NCOR2,PGAM5,PGK1,RANBP1,RANGAP1,SHC1,SMC1A,SPR,SSBP1,ST13,STAT6,STIP1	 
IL15	 	cytokine	Inhibited	-3.447	2.16E-09	AKT1,AKT2,ALDOA,ALDOC,EGLN1,EIF4E,ENO1,ENO3,FBP1,G6PD,GAPDH,GPD2,JUN,LDHA,MAP2K1,MDC1,MKNK1,MYD88,NFKB1,PDIA3,PFKP,PGD,PGK1,PGM1,PGM2,PKM,PLCG2,PSMB9,RPE,RPIA,TALDO1,TKT,TPI1	 
