© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Phospho Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
P-TEFb	 	complex	 	1.807	bias	5.45E-06	CCAR2,EDC4,EIF4ENIF1,IRF2BP1,LARP1,MEPCE,NPM1,OSBPL8,PXN,SEC16A,SF1,SF3B1,SRRM2,TNKS1BP1,TRIM28	 
BSG	1.612	transporter	 	1.463	 	1.68E-04	ARHGEF2,CDK1,DOCK2,H1-10,H1-4,MYH10,NCOR1,PRKCB,TRA2B	 
SET	0.864	phosphatase	 	-0.114	bias	8.14E-04	CTR9,DYNC1LI1,HNRNPU,MAP1S,NPM1,RBM25,SF3B2	 
HLA-DR	 	complex	 	 	 	1.40E-03	LYN,NFATC2	 
SYK	 	kinase	 	1.026	bias	2.34E-03	CDK1,HCLS1,LYN,MTOR,PRKCD,PRRC2C,PTPN6	 
CD79A	 	transmembrane receptor	 	1.348	bias	2.68E-03	CDK1,G3BP1,HCLS1,LYN,PRKCD,PRRC2C,PTPN6,VASP	 
MIF	 	cytokine	 	 	 	3.68E-03	AKT1,DNM1L,PRKCD	 
PPP1CB	 	phosphatase	 	 	 	4.09E-03	AKT1,NPM1	 
PDCD1	 	phosphatase	 	-1.000	 	4.75E-03	ARHGEF2,CDK9,HCLS1,PRKCD	 
PDPK1	 	kinase	 	 	 	5.12E-03	AKT1,MTOR,PRKCD	 
Cyclin E	 	group	 	 	 	7.99E-03	NPM1,SMARCA4	 
LIMS1	 	other	 	 	 	7.99E-03	AKT1,MTOR	 
HDAC6	 	transcription regulator	 	 	 	7.99E-03	AKT1,MTOR	 
TP53	 	transcription regulator	 	-0.487	 	1.15E-02	AKT1,CDK1,NPM1,PRKAA1,PRKCB	 
WRN	 	enzyme	 	 	 	1.30E-02	PRKCB,PRKCD	 
CXCL12	 	cytokine	 	0.030	bias	1.30E-02	AKT1,ARHGEF1,DOCK2,PXN	 
BCR (complex)	 	complex	 	0.663	bias	1.75E-02	CDK1,HCLS1,LYN,PRKCD,PRRC2C,PTPN6	 
GIT1	-0.604	kinase	 	 	 	1.90E-02	AKT1,PXN	 
F2	 	peptidase	 	-0.059	 	2.59E-02	ARHGEF1,GIT1,HCLS1,LYN,PRKAA1,PRKCD,VASP	 
RICTOR	 	other	 	 	 	2.60E-02	AKT1,MTOR	 
GAS5	 	other	 	 	 	2.60E-02	AKT1,MTOR	 
NOX4	 	enzyme	 	 	 	2.60E-02	AKT1,CDK1	 
PI3K (complex)	 	complex	 	1.000	bias	2.73E-02	AKT1,PRKCD,PXN,RPTOR	 
CHEK2	 	kinase	 	 	 	3.38E-02	CDK1,TRIM28	 
DOCK4	 	other	 	 	 	3.38E-02	LYN,PTPN6	 
FAM168A	 	other	 	 	 	3.75E-02	AKT1	 
PABIR1	 	other	 	 	 	3.75E-02	TRIM28	 
UBLCP1	 	phosphatase	 	 	 	3.75E-02	PSMD2	 
TNKS2	 	enzyme	 	 	 	3.75E-02	AKT1	 
Cr3	 	complex	 	 	 	3.75E-02	PRKCD	 
CDC25C	 	phosphatase	 	 	 	3.75E-02	CDK1	 
PTPA	 	phosphatase	 	 	 	3.75E-02	AKT1	 
CTNND1	 	other	 	 	 	3.75E-02	NPM1	 
mir-27	 	microRNA	 	 	 	3.75E-02	CDK1	 
HIF1A-AS1	 	other	 	 	 	3.75E-02	MTOR	 
ASS1	 	enzyme	 	 	 	3.75E-02	CAD	 
S100A8	 	other	 	 	 	3.75E-02	CDK1	 
PARVA	 	other	 	 	 	3.75E-02	AKT1	 
MGAT3	 	enzyme	 	 	 	3.75E-02	PRKCD	 
ARHGEF28	 	other	 	 	 	3.75E-02	PXN	 
MSH2	 	enzyme	 	 	 	3.75E-02	CDK1	 
DPYSL3	 	enzyme	 	 	 	3.75E-02	VIM	 
RB1	 	transcription regulator	 	 	 	3.75E-02	CDK1	 
DNAJB6	 	transcription regulator	 	 	 	3.75E-02	AKT1	 
PIM3	 	kinase	 	 	 	3.75E-02	PSMD2	 
PPM1A	 	phosphatase	 	 	 	3.75E-02	CDK9	 
F2RL3	 	G-protein coupled receptor	 	 	 	3.75E-02	PTPN6	 
TNKS	 	enzyme	 	 	 	3.75E-02	AKT1	 
BRD7	 	transcription regulator	 	 	 	3.75E-02	AKT1	 
DAP3	 	other	 	 	 	3.75E-02	DNM1L	 
AKAP1	1.044	other	 	 	 	3.75E-02	DNM1L	 
TXNIP	 	other	 	 	 	3.75E-02	MTOR	 
FIP1L1-PDGFRA	 	fusion gene/product	 	 	 	3.75E-02	LYN	 
LDL	 	complex	 	 	 	4.20E-02	PPP1R12A,PRKCB,PRKCD	 
MTORC1	 	complex	 	 	 	4.24E-02	AKT1,MTOR	 
F2R	 	G-protein coupled receptor	 	 	 	4.24E-02	PTPN6,STX4	 
IL18	 	cytokine	 	 	 	4.24E-02	AKT1,PRKCD	 
CD40	 	transmembrane receptor	 	 	 	4.24E-02	AKT1,LYN	 
MAPK1	 	kinase	 	 	 	4.24E-02	ADD1,RPTOR	 
