© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Phospho Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Notes	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
P-TEFb	 	complex	CRTC2,P-TEFb,PPP1CB	2	 	biased	1.698	1.42E-06	1.00E-04	AKT1,CCAR2,EDC4,EIF4ENIF1,IRF2BP1,LARP1,MEPCE,MTOR,NPM1,OSBPL8,PXN,SEC16A,SF1,SF3B1,SRRM2,TNKS1BP1,TRIM28	17 (3)	3
P-TEFb	 	complex	P-TEFb	1	 	biased	1.807	5.45E-06	1.00E-04	CCAR2,EDC4,EIF4ENIF1,IRF2BP1,LARP1,MEPCE,NPM1,OSBPL8,PXN,SEC16A,SF1,SF3B1,SRRM2,TNKS1BP1,TRIM28	15 (1)	1
SET	0.864	phosphatase	ATM,AURKB,CDC25C,CDK1,CDK2,DNMT1,ERK1/2,GSK3B,IGF1R,MAPK9,Mek,MTOR,RASSF1,RPS6KB1,SET,TP53	3	 	 	-0.426	1.65E-04	1.24E-02	ARHGEF2,CAD,CCAR2,CDK1,CTPS1,CTR9,DNM1L,DYNC1LI1,EPRS1,HNRNPU,MAP1S,MDC1,MTOR,NPM1,PRKAA1,PRKCD,PXN,RBM25,RPTOR,SF3B2,SMARCA4,TRIM28	22 (16)	14
Vla-4	 	complex	Akt,PI3K (complex),SYK,Vla-4	2	 	biased	0.905	6.17E-04	1.54E-02	AKT1,CCDC88A,CDK1,HCLS1,LYN,MTOR,PRKCD,PRRC2C,PTPN6,PXN,RPTOR	11 (4)	3
LATS1	 	kinase	Akt,BRCA2,CDC14A,CDK1,CDK2,CHEK1,ESR1,LATS1,MDC1,MTORC1,MTORC2,PLK1,PTEN,RPS6KA1,SRC (family),YAP1	3	 	 	-0.535	7.00E-04	2.15E-02	AKT1,CCDC88A,DNM1L,MAP4,MCM3,MDC1,NPM1,PPP1R12A,PRKCD,PXN,SMARCA4,TRIM28,VASP,VIM	14 (16)	13
BSG	1.612	transporter	BSG	1	 	 	1.414	7.83E-04	1.90E-03	CDK1,DOCK2,H1-10,H1-4,MYH10,NCOR1,PRKCB,TRA2B	8 (1)	1
SET	0.864	phosphatase	SET	1	 	biased	-0.378	8.14E-04	4.40E-03	CTR9,DYNC1LI1,HNRNPU,MAP1S,NPM1,RBM25,SF3B2	7 (1)	1
CD79A	 	transmembrane receptor	CD79A,CDK1,CDK2,GCSAM,MAPK1,MAPK3,PTPN11,SYK	2	 	 	1.000	1.12E-03	4.33E-02	ADD1,CDK1,DNM1L,G3BP1,HCLS1,LYN,MTOR,NPM1,PPP1R12A,PRKCD,PRRC2C,PTPN6,PXN,RPTOR,SMARCA4,VASP	16 (8)	8
USP12	 	peptidase	Akt,AR,ATM,CDKN1B,CHEK2,EGFR,ESR1,Jnk,MAPK1,MAPK3,Mek,MTOR,PHLPP1,PRKCA,RPS6KB1,SRC,USP12	3	 	 	0.000	1.19E-03	4.75E-02	ADD1,CAD,CCAR2,CCDC88A,CDK1,DOCK8,EPRS1,MDC1,MTOR,NPM1,PARP1,PRKCD,PXN,RPTOR,STX4,TRIM28	16 (17)	14
HLA-DR	 	complex	HLA-DR	1	 	 	0.000	1.40E-03	4.10E-03	LYN,NFATC2	2 (1)	1
CRP	 	other	CRP,ERK1/2,FCGR2A,SYK	2	 	biased	1.000	1.44E-03	2.47E-02	CDK1,HCLS1,LYN,MTOR,PRKCD,PRRC2C,PTPN6,PXN,RPTOR	9 (4)	3
GRK5	 	kinase	EGFR,ERK1/2,F2R,GRK5,TP53	2	 	 	-1.000	1.59E-03	2.05E-02	AKT1,MTOR,NPM1,PARP1,PRKAA1,PTPN6,PXN,RPTOR,STX4	9 (5)	4
PTGER4	 	G-protein coupled receptor	DDIT3,ERK1/2,GSK3B,MTOR,PDPK1,PRKCD,PRKCQ,PTGER4,RPS6KB1	3	 	 	0.905	1.71E-03	3.00E-02	AKT1,CAD,CDK1,CTPS1,EPRS1,MTOR,PRKCD,PTPN7,PXN,RPTOR,VASP	11 (9)	8
PTGER4	 	G-protein coupled receptor	PDPK1,PTGER4	2	Activated	 	2.000	1.88E-03	1.21E-02	AKT1,MTOR,PRKCD,VASP	4 (2)	2
PIM2	 	kinase	CDK2,MTORC1,PIM2,PKM	2	 	 	1.633	1.94E-03	1.74E-02	AKT1,MTOR,NPM1,PSMD2,RPTOR,SMARCA4	6 (4)	4
SYK	 	kinase	SYK	1	 	biased	1.134	2.08E-03	2.76E-02	CDK1,HCLS1,LYN,MTOR,PRKCD,PRRC2C,PTPN6	7 (1)	1
PHB	 	transcription regulator	Akt,AR,ATM,CHEK1,CHEK2,CTNNB1,EGFR,ERK1/2,ESR1,GSK3B,Mek,MTOR,PHB,RPS6KB1	3	 	 	1.069	2.13E-03	4.25E-02	CAD,CCAR2,CCDC88A,CDK1,CTPS1,EPRS1,MCM3,MDC1,MTOR,PARP1,PRKCD,PXN,RPTOR,TRIM28	14 (14)	11
CD79A	 	transmembrane receptor	CD79A	1	 	biased	1.414	2.68E-03	2.03E-02	CDK1,G3BP1,HCLS1,LYN,PRKCD,PRRC2C,PTPN6,VASP	8 (1)	1
PDPK1	 	kinase	PDPK1	1	 	 	1.732	3.68E-03	1.33E-02	AKT1,MTOR,PRKCD	3 (1)	1
PPP1CB	 	phosphatase	PPP1CB	1	 	biased	-1.414	4.09E-03	1.78E-02	AKT1,NPM1	2 (1)	1
POLH	 	enzyme	CHEK1,CHEK2,POLH,TP53	2	 	 	-0.816	4.33E-03	3.42E-02	AKT1,CDK1,MCM3,NPM1,PRKAA1,TRIM28	6 (4)	3
PDCD1	 	phosphatase	PDCD1	1	 	 	-1.000	4.75E-03	1.81E-02	ARHGEF2,CDK9,HCLS1,PRKCD	4 (1)	1
SFN	 	other	CDK2,CHEK2,SFN	2	 	 	-1.000	4.75E-03	1.72E-02	CDK1,NPM1,SMARCA4,TRIM28	4 (3)	2
GMNN	 	transcription regulator	CHEK1,CHEK2,GMNN,TP53	2	 	 	0.000	6.14E-03	4.82E-02	AKT1,CDK1,MCM3,NPM1,PRKAA1,TRIM28	6 (4)	3
FLCN	 	other	FLCN,MTORC1,PRKAA,RPS6KB1	2	 	 	-1.000	6.93E-03	3.37E-02	AKT1,EPRS1,MTOR,RPTOR	4 (4)	3
Cyclin E	 	group	Cyclin E	1	 	 	1.414	7.99E-03	2.02E-02	NPM1,SMARCA4	2 (1)	1
LIMS1	 	other	LIMS1	1	 	biased	1.414	7.99E-03	1.34E-02	AKT1,MTOR	2 (1)	1
STAT5A	 	transcription regulator	CHEK2,STAT5A,TP53	2	 	 	0.447	8.04E-03	5.00E-02	AKT1,CDK1,NPM1,PRKAA1,TRIM28	5 (3)	2
WRN	 	enzyme	WRN	1	 	 	-1.414	1.30E-02	4.19E-02	PRKCB,PRKCD	2 (1)	1
CXCL12	 	cytokine	CXCL12	1	 	biased	0.000	1.30E-02	3.70E-02	AKT1,ARHGEF1,DOCK2,PXN	4 (1)	1
CHEK2	 	kinase	CHEK2	1	 	 	0.000	1.90E-02	3.34E-02	CDK1,TRIM28	2 (1)	1
GIT1	-0.604	kinase	GIT1	1	 	biased	1.414	1.90E-02	2.79E-02	AKT1,PXN	2 (1)	1
GAS5	 	other	GAS5	1	 	 	-1.414	2.60E-02	4.69E-02	AKT1,MTOR	2 (1)	1
MIF	 	cytokine	MIF	1	 	 	1.414	2.60E-02	2.42E-02	AKT1,PRKCD	2 (1)	1
IL18	 	cytokine	IL18	1	 	biased	0.000	4.24E-02	3.57E-02	AKT1,PRKCD	2 (1)	1
