Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
A0A024QZP7	A0A024QZP7_HUMAN	Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)	CDK1 CDC2 hCG_40242	animal organ regeneration [GO:0031100]; cell aging [GO:0007569]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; cellular response to hydrogen peroxide [GO:0070301]; chromosome condensation [GO:0030261]; Golgi disassembly [GO:0090166]; mitotic cell cycle phase transition [GO:0044772]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of gene expression [GO:0010629]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of DNA replication [GO:0045740]; positive regulation of gene expression [GO:0010628]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of protein import into nucleus [GO:0042307]; protein-containing complex assembly [GO:0065003]; response to activity [GO:0014823]; response to amine [GO:0014075]; response to axon injury [GO:0048678]; response to cadmium ion [GO:0046686]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to organic cyclic compound [GO:0014070]; response to toxic substance [GO:0009636]; ventricular cardiac muscle cell development [GO:0055015]	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone kinase activity [GO:0035173]; Hsp70 protein binding [GO:0030544]	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; nucleoplasm [GO:0005654]
A0A024R4E5	A0A024R4E5_HUMAN	High density lipoprotein binding protein (Vigilin), isoform CRA_a (Vigilin)	HDLBP hCG_33048		RNA binding [GO:0003723]	cytosol [GO:0005829]
A0A024R571	A0A024R571_HUMAN	EH domain-containing protein 1 (EH-domain containing 1, isoform CRA_a)	EHD1 hCG_23386	cellular response to nerve growth factor stimulus [GO:1990090]; cholesterol homeostasis [GO:0042632]; cilium assembly [GO:0060271]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; low-density lipoprotein particle clearance [GO:0034383]; neuron projection development [GO:0031175]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neuron projection development [GO:0010976]; protein transport [GO:0015031]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]	ciliary membrane [GO:0060170]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; lipid droplet [GO:0005811]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; recycling endosome membrane [GO:0055038]
O00748	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE	catabolic process [GO:0009056]; lipid catabolic process [GO:0016042]; prostaglandin metabolic process [GO:0006693]; xenobiotic metabolic process [GO:0006805]	carboxylic ester hydrolase activity [GO:0052689]; methyl indole-3-acetate esterase activity [GO:0080030]; methylumbelliferyl-acetate deacetylase activity [GO:0047374]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]
A0A024RA52	A0A024RA52_HUMAN	Proteasome subunit alpha type	PSMA2 hCG_19883	ubiquitin-dependent protein catabolic process [GO:0006511]		cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]
A0A024RCG2	A0A024RCG2_HUMAN	Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a (Solute carrier family 22 member 18)	SLC22A18 hCG_16433		transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]
A0A075B6F9	A0A075B6F9_HUMAN	Nitric oxide synthase-interacting protein	NOSIP		ubiquitin protein ligase activity [GO:0061630]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
A8CG34	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	POM121C	intracellular transport of virus [GO:0075733]; mRNA export from nucleus [GO:0006406]; protein import into nucleus [GO:0006606]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of gene silencing by miRNA [GO:0060964]; regulation of glycolytic process [GO:0006110]; RNA export from nucleus [GO:0006405]; tRNA export from nucleus [GO:0006409]; viral life cycle [GO:0019058]; viral process [GO:0016032]; viral transcription [GO:0019083]	nuclear localization sequence binding [GO:0008139]; structural constituent of nuclear pore [GO:0017056]	endoplasmic reticulum membrane [GO:0005789]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]
A0A087WT12	A0A087WT12_HUMAN	Glutathione peroxidase	GPX4	response to oxidative stress [GO:0006979]	glutathione peroxidase activity [GO:0004602]	
A0A087WT44	A0A087WT44_HUMAN	Heme oxygenase (biliverdin-producing) (EC 1.14.14.18)	HMOX2	heme oxidation [GO:0006788]; response to oxidative stress [GO:0006979]	heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]
A0A087WTD5	A0A087WTD5_HUMAN	Nodal modulator 2	NOMO2			
A0A087WTW0	A0A087WTW0_HUMAN	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	UHRF1	cell cycle [GO:0007049]; histone monoubiquitination [GO:0010390]; maintenance of DNA methylation [GO:0010216]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein autoubiquitination [GO:0051865]	hemi-methylated DNA-binding [GO:0044729]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; nucleosomal histone binding [GO:0031493]; ubiquitin protein ligase activity [GO:0061630]	heterochromatin [GO:0000792]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; replication fork [GO:0005657]
A0A087WU02	A0A087WU02_HUMAN	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	vesicle-mediated transport [GO:0016192]		endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]
A0A087WU53	A0A087WU53_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1 (Magnesium transporter protein 1)	MAGT1	protein N-linked glycosylation [GO:0006487]	magnesium ion transmembrane transporter activity [GO:0015095]	integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]; plasma membrane [GO:0005886]
A0A087WUB9	A0A087WUB9_HUMAN	Beta-catenin-like protein 1	CTNNBL1			centrosome [GO:0005813]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
A0A087WUC6	A0A087WUC6_HUMAN	Microsomal signal peptidase 25 kDa subunit (Signal peptidase complex subunit 2)	SPCS2	signal peptide processing [GO:0006465]		integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]
A0A087WUT6	A0A087WUT6_HUMAN	Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2)	EIF5B		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]	
A0A087WV75	A0A087WV75_HUMAN	Neural cell adhesion molecule 1	NCAM1	cell adhesion [GO:0007155]		cytosol [GO:0005829]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
