source,target
CUL4B,SUMO3
CUL4B,RHOA
CUL4B,NDUFB1
CUL4B,CD44
CUL4B,OASL
CUL4B,OAS1
CUL4B,UQCRQ
CUL4B,IFIT2
CUL4B,IFIT3
CUL4B,EIF4E
CUL4B,IFIH1
CUL4B,PDCD4
CUL4B,HSPD1
CUL4B,IFIT1
CUL4B,NOLC1
CUL4B,GTF2B
CUL4B,SP100
CUL4B,MAT2A
CUL4B,UBE2I
CUL4B,WRN
CUL4B,CD151
CUL4B,ABCC1
CUL4B,RSAD2
CUL4B,PLAU
CUL4B,HSPA9
CUL4B,IQGAP2
CUL4B,AKT1
CUL4B,SRSF1
CUL4B,BCAT1
CUL4B,STAT3
CUL4B,MYD88
CUL4B,GLO1
CUL4B,BAX
CUL4B,SUMO1
CUL4B,POLDIP3
CUL4B,SAE1
CUL4B,NPM1
CUL4B,EIF4G1
CUL4B,PRDX3
CUL4B,POLR2D
CUL4B,HNRNPH1
CUL4B,PLAUR
CUL4B,IPO7
CUL4B,XPO1
CUL4B,ALCAM
CUL4B,BCOR
CUL4B,UBA2
CUL4B,FBL
CUL4B,BAG1
CUL4B,SLC2A1
CUL4B,GIGYF2
CUL4B,HSPH1
CUL4B,SUMO2
CUL4B,TPM3
CUL4B,PYCR1
CUL4B,COL1A1
CUL4B,IFI44L
CUL4B,RPL11
CUL4B,LDHA
CUL4B,RPL5
CUL4B,EZH2
CUL4B,ALDH18A1
CUL4B,TPI1
CUL4B,HK2
CUL4B,HSPB1
CUL4B,HSP90AA1
CUL4B,SOD1
CUL4B,COX5A
CUL4B,NOP56
CUL4B,SERPINE2
CUL4B,IFI35
CUL4B,NME1
CUL4B,RCC1
CUL4B,STAT1
CUL4B,BZW2
CUL4B,MX2
CUL4B,MX1
CUL4B,GLS
CUL4B,PREP
