target,color
SUMO3,#3e9bfe
RHOA,#3e9bfe
NDUFB1,#3e9bfe
CD44,#7a0403
OASL,#fd8d27
OAS1,#fd8d27
UQCRQ,#3e9bfe
IFIT2,#fd8d27
IFIT3,#fd8d27
EIF4E,#3e9bfe
IFIH1,#fd8d27
PDCD4,#3e9bfe
HSPD1,#46f884
IFIT1,#fd8d27
NOLC1,#46f884
GTF2B,#fd8d27
SP100,#fd8d27
MAT2A,#3e9bfe
UBE2I,#3e9bfe
WRN,#3e9bfe
CD151,#b9f635
ABCC1,#fd8d27
RSAD2,#fd8d27
PLAU,#fd8d27
HSPA9,#46f884
IQGAP2,#b9f635
AKT1,#faba39
SRSF1,#3e9bfe
BCAT1,#46f884
STAT3,#46f884
MYD88,#fd8d27
GLO1,#3e9bfe
BAX,#3e9bfe
SUMO1,#3e9bfe
POLDIP3,#46f884
SAE1,#3e9bfe
NPM1,#faba39
EIF4G1,#3e9bfe
PRDX3,#3e9bfe
POLR2D,#3e9bfe
HNRNPH1,#3e9bfe
PLAUR,#3e9bfe
IPO7,#3e9bfe
XPO1,#3e9bfe
ALCAM,#3e9bfe
BCOR,#3e9bfe
UBA2,#3e9bfe
FBL,#af1801
BAG1,#fd8d27
SLC2A1,#46f884
GIGYF2,#3e9bfe
HSPH1,#fd8d27
SUMO2,#3e9bfe
TPM3,#3e9bfe
PYCR1,#3e9bfe
COL1A1,#3e9bfe
IFI44L,#fd8d27
RPL11,#3e9bfe
LDHA,#fd8d27
RPL5,#b9f635
EZH2,#3e9bfe
ALDH18A1,#b9f635
TPI1,#faba39
HK2,#fd8d27
HSPB1,#d63506
HSP90AA1,#fd8d27
SOD1,#3e9bfe
COX5A,#3e9bfe
NOP56,#d63506
SERPINE2,#fd8d27
IFI35,#fd8d27
NME1,#fd8d27
RCC1,#46f884
STAT1,#fd8d27
BZW2,#b9f635
MX2,#fd8d27
MX1,#fd8d27
GLS,#3e9bfe
PREP,#3e9bfe
