,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
8,RAF1,-0.024,kinase,"AKT1,BRAF,CCND1,CCNE1,CDK2,CEBPA,CEBPB,CHUK,EGFR,ERK,ERK1/2,FOXO1,GLI1,IKBKB,Jnk,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MAPK9,MED1,Mek,MTOR,NFkB (complex),NOS2,P38 MAPK,RAF1,RARA,RB1,RELA,RPS6KB1,RUNX2,SHC1,SP1,SRC,STAT3,STAT5a/b,TP53,TP73,YAP/TAZ,YAP1",3,Inhibited, ,-2.895,7.46e-09,0.0172,"ACO1,ADK,AK1,AKR1B1,AKT2,ANO10,ARPC5L,ATAD2,BID,CDK6,CDKN2C,CNTRL,CP,DAB2,EFHD2,EHD1,EIF4E,ELOB,ENO1,ERBIN,FABP5,FBXO22,FHL1,FLI1,FN1,FSCN1,GCLM,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,IREB2,IRF8,JAK1,KYNU,MARCKS,MSI2,NAMPT,NFKB1,NIBAN2,NME1,NMI,NPEPL1,NRGN,OGFRL1,PARP12,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RBM8A,RSAD2,S100A8,S100A9,SAMD9,SAR1A,SERPINB1,SF3B4,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TREM2,TXN,UBE2L6,VIM,XPO1",87 (43),41,1hr_PROT_causal_unique,True,
19,CD3 group, ,group,"Ap1,ATF6,CCAR2,CCND1,CD3 group,CDK2,CDK4,CDKN2A,CEBPA,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXM1,FOXO1,HIF1A,HMGA1,Hsp27,IKBKB,LAT,MAP2K1/2,MAPK1,MAPK14,MED1,MYC,NFAT (complex),NFkB (complex),NR3C1,P38 MAPK,PDGFRA,PGR,PI3K (family),RARA,RPS6KA3,RXRA,SMARCA4,SP1,SREBF1,STAT3,SYK,TP53,TP63,ZAP70",3,Inhibited,biased,-2.77,2.19e-08,0.0405,"ABRACL,AIF1,AK1,AKR1B1,ANO10,ARF4,ARPC5L,ATG9A,BAG1,BID,CAP2,CAST,CBR1,CDKN2C,CFP,CLDND1,CNN3,CSTA,DAB2,DHCR7,DR1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FBXO22,FCER1G,FHL1,FSCN1,GBA,GCLM,GPNMB,GSTM3,GSTO1,GSTP1,HINT1,ICAM1,IL1B,IQGAP2,IREB2,IRF8,JAK1,JUN,KIF20A,KYNU,LPXN,MAPK7,MARCKS,MTRES1,MVD,MYD88,NAMPT,NFKB1,NIBAN2,NME1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,S100A4,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINB8,SERPINB9,SPC25,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TNFAIP3,TRADD,UBE2L6,VIM,XPO1",95 (44),41,1hr_PROT_causal_unique,True,
20,LCP2,-0.360,other,"AMPK,Ap1,AR,CCND1,CCNE1,CDK2,CEBPB,Creb,DYRK1B,ERK,FOXO1,FOXO3,ITGB1,ITK,Jnk,JUN,LCP2,Lfa-1,MAPK1,MAPK14,MYC,NFAT (complex),NFkB (complex),NOS2,P38 MAPK,PIK3R1,PLCG1,PLCG2,PRKCZ,Rac,RAC1,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SMAD2,SP1,STAT3,TP53,YAP1,ZAP70",3,Inhibited,biased,-3.7319999999999998,2.85e-08,0.0106,"ACO1,AIF1,AK1,AKT1,AKT2,BAG1,BID,CAST,CDK6,CLGN,CP,DAB2,DHCR7,DR1,EIF4E,ENO1,ERBIN,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IQGAP2,IREB2,JUN,KYNU,MARCKS,MYD88,NAMPT,NFKB1,NIBAN2,NME1,NMI,PARP12,PLAU,PPP4C,PREP,PRMT1,PSAT1,PTPN11,PTPN2,PTPN6,PYCARD,RSAD2,S100A4,S100A8,SAE1,SAR1A,SERPINE2,SPC25,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,UBE2L6,VIM",69 (42),34,1hr_PROT_causal_unique,True,
21,SMPD1, ,enzyme,"Akt,AKT1,ATF6,CEBPA,CEBPB,EGFR,ERBB2,ESR1,estrogen receptor,EZR,HIF1A,HSF1,Hsp27,MAPK14,MET,MMP9,MTOR,MYC,NFkB (complex),NR3C1,P38 MAPK,PGR,RELA,SMPD1,SP1,TP53,TP63,YAP1",3,Inhibited,biased,-3.092,2.94e-08,0.0196,"ACO1,AK1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATAD2,ATG9A,BAG1,BID,CAST,CBR1,COL6A3,CP,CSTA,DAB2,DR1,EHD1,EIF4E,ENO1,FABP4,FABP5,FBLN1,FBXO22,FHL1,FKBP4,FN1,GBA,GCLM,GLO1,GPNMB,GSTM3,HINT1,ICAM1,IL1B,IQGAP2,IREB2,JUN,KYNU,LSM2,MAPK7,MYD88,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PEA15,PLAU,PPIA,PPP4C,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RAN,RSAD2,S100A9,SAE1,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SHMT1,SREBF2,SUMO2,SUMO3,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1",82 (28),26,1hr_PROT_causal_unique,True,
22,IRAK4,-0.625,kinase,"ATF6,CCND1,CEBPA,CEBPB,CHUK,EGFR,ERK,ERK1/2,FOXO1,GLI1,HIF1A,Hsp27,IKBKB,IRAK4,Jnk,LIN28A,MAP3K7,Mapk,MAPK1,MAPK14,MAPK9,MMP9,MTOR,NFAT (complex),NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RARA,RELA,RPS6KB1,RUNX2,SHC1,SP1,SREBF1,STAT3,TP53,TP63,TP73",3,Inhibited,biased,-2.862,3.32e-08,0.0408,"ACO1,ADK,AIF1,AK1,AKR1B1,ANO10,ARF4,ARPC5L,ATAD2,ATG9A,BID,CAP2,CBR1,CNTRL,CP,CSTA,DAB2,EFHD2,EHD1,EIF4E,ELOB,ENO1,ERBIN,FABP4,FABP5,FBXO22,FHL1,FLI1,FSCN1,GBA,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IL1B,IQGAP2,IREB2,KYNU,MAPK7,MARCKS,MSI2,NAMPT,NFKB1,NIBAN2,NME1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RBM8A,S100A9,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,UBE2L6,VIM,XPO1",89 (40),39,1hr_PROT_causal_unique,True,
28,MAP3K7, ,kinase,"AKT1,Ap1,ATF6,CDK1,CEBPA,CEBPB,CHUK,DYRK1B,EGFR,ERBB3,estrogen receptor,FOXO1,GLI1,HDAC6,HIF1A,HSF1,Hsp27,IKBKB,ING1,IRF3,ITGB4,Jnk,MAP2K1/2,MAP3K7,MAPK1,MAPK9,MAPKAPK2,MMP9,MTOR,NFAT (complex),NFkB (complex),NFKB1,NR3C1,P38 MAPK,PARP1,PGR,PRKCD,RAC1,RELA,RPS6KB1,SHC1,SP1,SREBF1,TP63,TP73",3,Inhibited,biased,-2.556,5.019999999999999e-08,0.0201,"ADK,AIF1,AKR1B1,AKT1,AKT2,ARF4,ATG9A,CAP2,CBR1,CDKN2C,CNTRL,CP,CSTA,EFHD2,EIF4E,ELOB,EPS15,FABP4,FABP5,FBLN1,FHL1,FLI1,FSCN1,GBA,GCLM,GPNMB,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,JAK1,JUN,KYNU,LSM2,MAPK7,MSI2,MYD88,NAMPT,NAT1,NFKB1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PDLIM7,PLAU,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPRE,RAN,RBM8A,RSAD2,S100A4,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SF3B4,SPC25,SREBF2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,UBE2L6",81 (45),43,1hr_PROT_causal_unique,True,
33,DUSP10, ,phosphatase,"Ap1,AR,CCND1,DUSP10,EGFR,ELK1,FOXO1,Jnk,JUN,Mapk,NFkB (complex),RB1,RPS6KB1,RXRA,SHC1,SMAD2,SP1,STAT5a/b,STAT6,TP53,YAP1",3,Activated,biased,4.0089999999999995,6.530000000000001e-08,0.0054,"ACO1,AK1,AKT1,BID,CAST,CDK6,CDKN2C,CLGN,DHCR7,DR1,EHD1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,S100A4,SAR1A,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM,XPO1",56 (21),20,1hr_PROT_causal_unique,True,
34,FPR2, ,G-protein coupled receptor,"Akt,Ap1,AR,CHUK,EGFR,ELK1,FOXO1,FPR2,IKBKB,IRF3,Jnk,JUN,MAP3K7,MAPK9,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,RPS6KB1,SHC1,SP1,SREBF1,STAT6,TP53,YAP1",3,Inhibited,biased,-3.255,7.08e-08,0.0062,"ACO1,AIF1,AK1,AKT1,ARF4,BID,CAP2,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,EIF4E,FABP4,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GPNMB,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,SAR1A,SF3B4,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1,TXN,XPO1",59 (26),25,1hr_PROT_causal_unique,True,
37,CYTIP, ,other,"AR,ATF6,CEBPB,Creb,CYTIP,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,STAT3,TP53,TP63,VAV",3,Inhibited,biased,-4.093,8.16e-08,0.0143,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",65 (26),24,1hr_PROT_causal_unique,True,
38,MAP3K20, ,kinase,"AR,ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MAP3K20,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SP1,STAT3,TP53,TP63",3,Inhibited,biased,-3.9730000000000003,8.380000000000001e-08,0.0224,"ACO1,AK1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",69 (32),31,1hr_PROT_causal_unique,True,
