,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
0,CST5, ,other,Inhibited,-2.294,3.02e-19,"ACAT2,ADRM1,ADSL,AHCTF1,ARF6,BCAP31,CEBPZ,CEP170,CHD3,CNBP,COPS7A,COPS8,CORO1A,DCP1A,DDT,DDX21,DECR1,DKC1,DNAJA3,DR1,DRAP1,EBNA1BP2,EEF1B2,EIF2B1,EIF5B,EZR,FHL1,GNL3,HNRNPA2B1,HNRNPA3,HNRNPDL,HNRNPH1,IQGAP2,KRR1,MRM3,MSN,NCBP1,NDUFB1,NDUFB7,NIFK,NOC3L,NOL9,NOM1,NOP2,NOP53,NUMA1,PCBP1,PDLIM5,PITRM1,PPP2R2A,PPP2R5A,PRDX1,PRDX2,PRKACB,PRPF6,PYGB,RBM28,RBM3,RNASEH2B,RPF2,RRP1,RRS1,RSL1D1,S100A11,SCAF11,SLC4A1AP,SRSF1,SUPV3L1,SURF6,TOMM40,TXN,UCHL5,UTP18,VASP,VIM,VPS36,VTI1B", ,2hr_PROT,True
1,mir-122, ,microRNA,Activated,3.681,9.82e-18,"ADAM10,ALDOA,ARHGAP1,CACYBP,CLIC4,CS,CSRP1,CTCF,G6PD,GNPDA1,H1-0,IQGAP1,LETM1,LMNB2,MAP4,MAPRE1,MTHFD2,NPEPPS,NUDC,NUTF2,PKM,PLIN3,PPP2CA,PXN,RBM3,RCC2,SCAF11,SERPINB6,SH3BGRL3,SH3GL1,TGM2,TPD52L2,VAV3,VIM,VPS4A,VPS4B,WARS1,YARS1", ,2hr_PROT,True
5,MYC, ,transcription regulator,Inhibited,-2.753,5.2e-13,"AKT1,APEX1,BAG1,BAX,BCAT1,BCOR,BZW2,CD151,CNTRL,COL1A1,COX5A,COX7A2L,CSDE1,DKC1,EIF4E,EIF4G1,ENO1,EZH2,EZR,FBL,FKBP5,G6PD,GAPDH,GCLC,GCLM,GLUD1,GLYR1,GSR,HNRNPA1,HNRNPH1,HSP90AA1,HSPB1,HSPD1,HSPH1,IDH1,IDH2,IFI35,IPO7,IQGAP2,JUN,LDHA,LGALS1,MAT2A,MTHFD1,MX2,MYD88,NAP1L1,NOLC1,NOP56,PCNA,PDCD4,PREP,RHOA,RSAD2,SAE1,SHMT2,SLC25A19,SP100,SRSF1,STAT1,STAT3,SUMO1,SUMO2,SUMO3,TMSB10/TMSB4X,TPI1,UBA2,UBE2I,UQCRQ,WRN,XPO1", ,2hr_PROT,True
8,Lh, ,complex,Activated,2.227,7.88e-10,"ACTB,ACTN1,ACTR2,ARHGAP1,ARL6IP5,ARPC1A,ATP2A2,ATP5IF1,BAG1,CAP2,CAPZA1,CASP4,CTNND1,DAB2,DUSP3,EZR,FDXR,FKBP5,GBP1,HSD11B1,ILK,ITPR1,JMJD6,MAP2K1,MAPK14,MAPRE2,MBD2,MMP2,PDXK,PGK1,PGRMC1,PIK3CD,PLIN3,PPIH,PPP2R1A,PRKAR1A,PSIP1,PTPRE,RANGAP1,SMARCA4,STAT1,STIP1,STK25,THBS1,TK1,TLN1,TPM1,UPP1,VCL", ,2hr_PROT,True
10,IL15, ,cytokine,Inhibited,-3.447,2.1600000000000004e-09,"AKT1,AKT2,ALDOA,ALDOC,EGLN1,EIF4E,ENO1,ENO3,FBP1,G6PD,GAPDH,GPD2,JUN,LDHA,MAP2K1,MDC1,MKNK1,MYD88,NFKB1,PDIA3,PFKP,PGD,PGK1,PGM1,PGM2,PKM,PLCG2,PSMB9,RPE,RPIA,TALDO1,TKT,TPI1", ,2hr_PROT,True
11,NFE2L2, ,transcription regulator,Inhibited,-3.150,2.47e-09,"COX4I1,CS,G6PD,GCLC,GCLM,GLUD1,GOT1,IDH1,IL1RN,ME1,NQO1,PGD,PHGDH,PRDX1,PSAT1,PSMA4,PSMB5,SHC1,SHMT2,SOD1,TALDO1,TFAM,TKT", ,2hr_PROT,True
12,TRAP1,-0.068,enzyme,Inhibited,-2.244,3.829999999999999e-09,"ALDH1L2,ATP5F1D,CHCHD3,COX5A,COX5B,ECSIT,GARS1,HIBADH,HSPD1,HSPE1,ISCU,MRPS31,MTHFD2,PKM,SARS1,SOD1,TXN2", ,2hr_PROT,True
13,ESRRG, ,ligand-dependent nuclear receptor,Inhibited,-2.883,1.74e-08,"ACADM,ACO1,ACO2,ALDOC,ATP5F1B,CS,DLST,ENO1,GAPDH,IDH2,LDHA,MDH1,MDH2,PKM,SDHB,SUCLG1,TPI1", ,2hr_PROT,True
16,TXNIP, ,other,Activated,2.406,3.16e-08,"ALDOA,CS,ENO1,G6PD,GAPDH,IDH1,LDHA,MDH2,PGK1,TPI1", ,2hr_PROT,True
17,PKM,-1.539,kinase,Inhibited,-2.733,5.57e-08,"ALDOA,ENO1,ENO3,FBP1,GAPDH,GGT1,GSR,IL1B,LDHA,LSS,MMP2,NDUFB8,PGLS,PKM,PRPS1,RPE,SDHB,STAT3,TALDO1,TFAM,UQCRC2",57 (2),2hr_PROT,True
18,FSH, ,complex,Activated,2.210,2.37e-07,"ACTB,ACTN1,ACTR2,ARHGAP1,ARL6IP5,ARPC1A,ATP2A2,ATP5IF1,BAG1,CAP2,CAPZA1,CASP4,CTNND1,DAB2,DUSP3,EZR,FDXR,FKBP5,GBP1,GCLC,GOT1,HSD11B1,IGFBP3,ILK,ITPR1,JMJD6,MAP2K1,MAPK14,MAPRE2,MBD2,MMP2,PDXK,PGK1,PGRMC1,PIK3CD,PLIN3,PPIH,PPP2R1A,PRKAR1A,PSIP1,PTPRE,RANGAP1,SMARCA4,STAT1,STIP1,STK25,THBS1,TK1,TLN1,TPM1,UPP1,VCL", ,2hr_PROT,True
21,CA9, ,enzyme,Inhibited,-3.440,4.39e-06,"ALDOA,ATP5F1A,ATP5F1B,ATP5F1D,ATP5PD,ATP5PO,CYC1,ENO1,LDHA,PGK1,UQCRC1,UQCRC2", ,2hr_PROT,True
24,BACH1, ,transcription regulator,Inhibited,-2.704,8.37e-06,"ATP5F1B,ATP5F1D,ATP5PO,DNAJC7,GCLM,HCCS,IMMT,ME1,NDUFA2,NDUFA6,NDUFS7,NQO1,OPA1,PHB2,UQCRB,UQCRC1", ,2hr_PROT,True
27,PSME3,-0.480,peptidase,Inhibited,-2.646,1.3500000000000001e-05,"ALDOA,ENO1,GAPDH,LDHA,PGM1,PKM,TPI1", ,2hr_PROT,True
28,GNA12, ,enzyme,Inhibited,-3.352,1.6800000000000002e-05,"ARHGEF1,ARPC5,EZR,IQGAP1,JAK1,PAK2,PIK3CD,PPP1CA,PPP1CC,PXN,RDX,RHOA,VAV3,VCL,VIM", ,2hr_PROT,True
30,CAB39L, ,kinase,Activated,3.606,2.0600000000000003e-05,"ATP5F1E,COX17,COX4I1,COX5B,COX6C,NDUFB10,NDUFB11,NDUFB8,NDUFB9,NDUFS4,NDUFV2,UQCRB,UQCRQ", ,2hr_PROT,True
31,DDX5,-0.283,enzyme,Activated,3.000,2.54e-05,"ATP5PB,ATP5PD,BAX,COX5A,COX5B,COX6C,JUN,MDH1,NDUFA2,NDUFA6,NDUFB1,NDUFB4,S100A4,SDHB,UQCRB,UQCRC1,UQCRQ", ,2hr_PROT,True
33,SLC2A3, ,transporter,Inhibited,-2.646,2.98e-05,"ALDOA,GAPDH,LDHA,PGAM1,PHGDH,PKM,TPI1", ,2hr_PROT,True
38,EGFR, ,kinase,Inhibited,-2.647,7.509999999999998e-05,"AGO2,AKT1,GBP1,HNRNPA1,HNRNPA2B1,HNRNPH1,IGFBP3,JUN,MARCKS,MTA2,NDUFB8,PKM,POSTN,PPIA,PRKAR1A,PSMB3,PSMB5,PTPRE,SDHB,SRSF1,TGM2,UQCRC2,VIM,ZEB2",76 (3),2hr_PROT,True
41,ACLY,-0.569,enzyme,Activated,2.755,9.88e-05,"ATP5F1B,ATP5F1D,COX4I1,COX5A,GDF15,NDUFA8,SDHB,TFAM", ,2hr_PROT,True
44,IKBKE, ,kinase,Inhibited,-3.037,0.00015,"ALDOC,DLST,ENO3,LDHA,MAT2A,PGK1,PGM1,PGM2,PHGDH,PSAT1,PYGL,RPE,TPI1", ,2hr_PROT,True
45,PPARA, ,ligand-dependent nuclear receptor,Activated,2.183,0.000153,"ACAA1,ACADM,APOA1,APOA4,APOC3,C3,COX4I1,CPT1A,CPT2,DR1,IGFBP2,IGFBP3,LPL,RBP4,UQCRC1", ,2hr_PROT,True
60,MAP3K12, ,kinase,Inhibited,-2.121,0.000727,"ACTB,JUN,RPL27A,RPL37,STMN1,TUBB,TUBB2A,TUBB4B", ,2hr_PROT,True
70,PTCD1, ,other,Activated,2.236,0.00114,"NDUFB8,NDUFB9,SDHB,UQCRB,UQCRC2", ,2hr_PROT,True
113,IRF2,-0.480,transcription regulator,Inhibited,-2.333,0.0073,"CD14,CLIC1,FGA,IDH1,NAMPT,PSMB9,PSME1,PSME2,PTGR1,TAP1,TAPBP,TPM1,TXNRD1,UBE2L6", ,2hr_PROT,True
117,ETV6-RUNX1, ,fusion gene/product,Activated,3.402,0.007940000000000001,"ABR,ALOX5,ARHGAP18,ARHGAP25,ARHGAP4,BID,CD70,CLIC1,CORO1A,CSK,CYBA,IFI35,ITGB2,LCP2,LGALS1,MAP2K1,NAA10,NEK6,NOTCH1,PAK1,POU2F2,PPM1F,RASGRP2,RPS6KA1,S100A4,SIPA1,SWAP70,TNFAIP8L2,TPM1,VAV1", ,2hr_PROT,True
134,YARS2,0.808,enzyme,Activated,2.236,0.009170000000000001,"COX5A,NDUFB8,SDHB,UQCRC1,UQCRC2", ,2hr_PROT,True
163,IFNG, ,cytokine,Inhibited,-2.291,0.0169,"AIF1,BAX,BST2,C3,CASP1,CASP8,CGAS,CP,DRG1,FCER1G,GART,GBP1,GBP2,GRK2,HSPA1A/HSPA1B,HSPG2,IFI35,IL1B,IL1RN,IRF8,LPL,MMP2,MX2,MYD88,NCF2,NMI,PARVG,PRDX2,PSMB9,RIPK2,RSAD2,SAMD9,SERPINB9,SOAT1,SP100,SPI1,SREBF2,ST13,STAT1,TAP1,THBS1,THEMIS2,TYMP,VIM,YLPM1,ZEB2", ,2hr_PROT,True
169,SP1,0.620,transcription regulator,Inhibited,-2.137,0.0201,"ADH5,ALOX5,ASNS,ATP2A3,BAX,CBS/CBSL,CDK1,CDK6,COL1A1,CYP51A1,EZR,FN1,GDF15,HADHA,HADHB,HINT1,IGF2,IGFBP3,JUN,LPL,MAT2A,MAT2B,MMP2,NCF2,NFKB1,PLAA,PREX1,SF1,SP1,STAT1,STAT3,TIMP2,TXNRD1,UFD1,UGDH,VIM,ZEB2", ,2hr_PROT,True
199,EGLN, ,group,Activated,2.360,0.0277,"ALDOC,BPNT1,EGLN1,GAPDH,HMGCL,LDHA,MPI,PFKP,PGAM1,PGM1,PPME1,PYGL,RLF,SLC27A1,TPI1", ,2hr_PROT,True
200,CSF2, ,cytokine,Inhibited,-2.383,0.0283,"BAX,CD14,CDC123,EGR2,GCLM,HSPH1,IL1B,IRF5,MAT2A,MKNK1,NACA,PPIF,QSOX1,RBM3,SF1,TPM4,UPP1", ,2hr_PROT,True
262,TGFB2, ,growth factor,Activated,2.404,0.0463,"CD46,COL1A1,FN1,HSPG2,MMP2,TIMP2", ,2hr_PROT,True
