,"('4hr', '7hr', '24hr')_STAT","('4hr', '7hr', '24hr')_LOG2FC","('4hr', '7hr', '24hr')_PVAL","('4hr', '7hr', '24hr')_ADJPVAL"
G3V180,1.364211549695334,-0.3221825000277292,0.18914908098468797,0.2769754205209877
P11766,-0.40418698712628415,0.12365743512861727,0.6912820537916539,0.7648908270243682
Q8NB37,3.015290799399464,-0.6393206364393649,0.007196204161217176,0.019505131122726584
Q9P0U4,0.7495548097441034,-0.18640630295652194,0.4663302009471345,0.5682163255764149
Q99732,4.967043843073419,-0.36087432120131346,0.0007039702485251026,0.0031534839304898678
P26038,1.3177386636955493,-0.38821710070300774,0.21031664163197286,0.30115383754304187
B5ME19,-0.9697882638242362,0.06908103739241866,0.34826345499315947,0.44835153074830114
Q9H9B1,-0.9425857280079611,0.1720011836041273,0.3617275657700235,0.4618317618749365
Q8WXF1,1.9550067934247064,-0.316471253564643,0.06451575249301215,0.11403166096134436
P32970,1.6079406510158687,-0.19501958629656002,0.13233561124171006,0.20826805834174997
O60566,2.809493964636229,-0.6393778074952561,0.02211358296742993,0.04764428872195959
Q7Z2K6,-17.011461872163313,1.266101860165957,5.886421537990407e-13,6.492481154931428e-10
P12004,0.48643196585664294,-0.14531281174677524,0.6336893642704311,0.7187448656549458
Q9UKA4,6.209807350373898,-1.2842813265066901,0.00011663674905710124,0.000773560372016543
Q9H330,3.914339996214047,-1.412443444278848,0.003363712758413329,0.010600020689523395
Q8IYI6,-4.066105032739667,0.6641626573176627,0.0026360077756593728,0.00862655804665903
O94819,2.3384705406111697,-0.3432156850349344,0.041561252067869384,0.0800851878421572
P28482,1.2420939968825933,-0.36886737364093847,0.2369518859727623,0.330922412659245
Q9HB07,2.29649995604181,-0.6592856877758813,0.042992884907372644,0.08231272035370807
Q9UKJ3,2.871542207972333,-0.47219444209840766,0.013335791160438721,0.03151270900419042
Q9NZ45,-2.4780534767382307,0.5772487795745,0.026028842367075054,0.054408508430122765
Q92618,1.7394998130486228,-0.4495403715476076,0.10666395823546532,0.1741913171340449
Q9NVK5,3.6454700965404188,-0.9964414993990598,0.0024333033556054188,0.008109713423561739
V9GYM8,-3.936053625420353,0.22366934112339543,0.0008456118103975884,0.0036392756220210262
P52888,-0.22692574573043195,0.07239345035708666,0.8231909018251719,0.8697472221667933
Q13510,3.1777338395177814,-0.9085410283060984,0.006901361752757501,0.018890323956627958
Q96K17,2.939171765131351,-0.8131332539760141,0.013878436383123817,0.0324453232166632
Q8TC12,-2.925337377579527,0.4820185952751075,0.008087288065745397,0.02129686604418162
P55735,-5.035164104026498,0.5937231242009737,0.0001257913739805567,0.000825270651973227
P61160,1.0134767094654535,-0.16143056496757602,0.3240681235519458,0.4236171329518062
F8W727,-3.9578952645933443,0.42807151830120027,0.002237467023738316,0.007578282618612865
J3QS41,-0.051906347676211745,0.005071215368294801,0.9593278095689182,0.9738205786218599
Q16658,-0.032926577835716064,0.01041683683503436,0.9741357073364391,0.9833412543648183
P50148,-2.833108917989375,0.28433705349082317,0.01375006948386488,0.032253822899651514
P50213,-1.3552558262602326,0.1628169557659458,0.1897913076559881,0.2777071802872664
P27701,-9.374165023409809,2.681423260965456,7.582743986003877e-08,2.632475953807679e-06
A0A087WY31,-0.963874666261077,0.2598885502535193,0.3461865670053663,0.4462293434852587
G8JLA2,3.6477308818203267,-0.6673343665494258,0.005687900248625357,0.01618565057088336
Q13153,-1.537109171341435,0.4658139500149989,0.1393773532950696,0.21706394535598503
Q86X76,-1.085986391924344,0.3124015160562372,0.29333939976617407,0.3928164382596854
P34897,-1.7168370941512887,0.2755016095899716,0.10399933059269316,0.1705081508261156
P08571,4.804214108943392,-0.9558941392113329,0.0009420568310925191,0.003972276071185663
P49916,1.8500447596452632,-0.4314281203921837,0.0921864819961886,0.15425323320305767
Q9NRX4,4.007666550035921,-1.9436807520805095,0.0038063161498946264,0.011719965321848495
A0A0A0MR51,2.1003031747003287,-0.4726287413816106,0.05483206067767054,0.09983844614649277
Q96S59,1.0170923751178813,-0.09645343844796095,0.3320631588546089,0.4327103909253365
A0A087WZM2,3.8207686919341235,-0.9994538699768221,0.0012613763191227259,0.004971517261556552
P28062,-2.3589158676460715,0.3486774324651343,0.02866022852553491,0.05906165791652659
O96019,4.884003542266078,-0.4270115309080378,0.0003647477620845003,0.0019089688151306887
Q15365,1.4141923458458354,-0.3544027024672829,0.1792157424623894,0.265509524572658
P30533,1.7606556474444304,-0.3647690925655773,0.09285628933492877,0.15498369445885948
Q9UER7,1.6604082384555126,-0.49804230365304747,0.1166165810676584,0.1876495468242043
O15305,-0.7914565990719562,0.2561023462150551,0.4375778231367796,0.5394936996708565
Q32P28,-1.295126639678214,0.1772480975741626,0.21905258682181356,0.3118841683867653
Q8NDH3,3.2429034794509253,-0.765643321995805,0.00812551910061876,0.021384025630560802
Q12981,-0.7364272675437389,0.09566361347499175,0.47533198667800214,0.5768229118848113
Q9Y6K9,4.663567684718364,-1.0862464317302312,0.0005978038085357838,0.002785739000402769
O60678,-3.0800932606949134,0.6012375749002903,0.005796061954284096,0.016448497344378435
H0YM31,3.000517250966429,-0.624137095926482,0.007179794501697378,0.019473322847702652
Q7Z4W1,-5.850293877344319,0.25702653058818825,1.0613529084382478e-05,0.00012214587918075447
P12235,-6.790585777682669,1.1147606989968892,1.1940089423306012e-06,2.2107738905552372e-05
Q8NBS9,2.5971596605954286,-0.48923132732997665,0.019110668983055985,0.04210208724664793
Q9Y6D9,3.7903894494453274,-0.7890998175468837,0.004142230073882217,0.012513800208697112
Q9Y5B6,1.852971432527206,-0.6516646988669166,0.09724671579298018,0.1612777937872434
Q7Z460,-2.2270670544662283,0.6677321950496786,0.0371002990987445,0.07307794139260973
P48147,-1.5561591883477741,0.41018966978917426,0.13525515328787513,0.21199133506293746
Q6PCB8,2.207201679832914,-0.20257385716323562,0.038574325076010094,0.07537553389618108
Q15286,-11.034328360950223,0.9904071283314142,5.575649715876084e-09,4.2233012211526844e-07
Q96QC0,4.531687502659298,-0.9752635472719486,0.0015767487257131033,0.005787431886626245
P00505,-3.969743284281542,0.3917719475123711,0.0010569700363106187,0.004348070433423154
O95613,2.259160544815748,-0.6622373341845105,0.048271605500709684,0.09021175936527942
P46782,0.6582540389414709,-0.07452373447130967,0.5211880550731814,0.616487631298942
Q12792,2.1932341148012062,-0.5120983183196284,0.042581686142073194,0.08174898823404467
Q9BWD1,4.0715725709578265,-1.5513542625783607,0.003244861510143824,0.010295577342923969
Q9NVS2,-0.32446926422579936,0.07617282499854738,0.7500791109817583,0.8116440458051961
Q9NZI7,-1.769448484846895,0.2476607027211486,0.09169625787606274,0.1536932349916494
O75937,3.0522457719604392,-1.3455208877994824,0.014380985504421967,0.03341634994245945
Q9Y6N5,-6.944881342370188,0.7179061168312515,1.5230822015912998e-05,0.00016395763441419523
Q5F1R6,9.057544270375919,-1.8608177090126512,8.916076781922899e-06,0.00010860928617979765
O60884,-5.7631100425940796,0.6163336352530582,0.00013385027665347379,0.0008618551043869734
P47914,5.09574940517637,-1.1137811906021309,0.0006520990093391142,0.0029780342481590502
O60524,4.588640994878049,-0.761052484782482,0.0002671510307319975,0.0014879026658148418
P49207,2.070841488307354,-0.39942495711470194,0.06793075003703783,0.1194090736937973
Q9NPH3,0.6626616821313484,-0.1660545602475363,0.5228987501721751,0.6183355643534719
P83436,-2.754565421863454,0.43150960589891874,0.015462117674193846,0.035392957269610746
Q9Y5S1,1.312682539238027,-0.18644876775671726,0.2117363519150897,0.3029167726917114
Q7Z406,-5.642389896170881,0.5852604726526671,1.546710185604871e-05,0.0001660720266296364
Q12772,-1.4933269876846365,0.27434251509423113,0.15339641389590253,0.2346858098752589
J3KPD6,0.5435597452456021,-0.06797856022659587,0.5979691041888044,0.6874004657976157
Q9Y277,-6.547990668501031,0.8096186598521466,4.173430615430229e-06,5.834399981168568e-05
P04843,-3.232805685923763,0.42344799913442976,0.0077264621262386375,0.02055456016469359
O14976,-0.8802558562634818,0.11542264816297454,0.3886842991986804,0.4893498913453317
Q9NWV4,2.4562676886005663,-0.7754998680981053,0.03308774946627374,0.06643063338626333
Q9BQG0,-0.9960287501971121,0.19981964360520443,0.34314511477024034,0.4431316020250531
O95602,2.480176757761621,-0.3926670956636258,0.033306358903861986,0.06677299864941724
P61289,3.942405446580902,-0.5114295490760856,0.001998531371598229,0.0069382347450651855
P48634,7.358491085754781,-1.0041914132871987,1.2870582071455732e-06,2.341434275532078e-05
P54819,1.4713186540029903,-0.290383454066955,0.1722699376261498,0.257323972804066
Q9H0V9,-1.509416989197473,0.4336411179634485,0.1640129174786643,0.24756442544062154
Q9BXS5,-0.10373294937234018,0.021648612513393672,0.918397479653152,0.944468995367818
P04424,-1.2688081746282207,0.29861598197048167,0.22588318123939655,0.31856104706950783
Q9ULP9,0.4142284668695662,-0.08148993933504478,0.6842101085050951,0.7609234682413845
P27918,4.579251655618635,-1.141351944737563,0.000389103007721641,0.0019889608959120938
P28290,1.0867859153764126,-0.09196084521639669,0.29358912102605983,0.39302451098797087
P48723,-2.2401168413339505,0.2977976275158518,0.04725363495517633,0.08885858201617138
Q9NZT2,-2.4310270585671483,0.42495442158138275,0.024277288755224183,0.05152276360380231
Q9UKR5,-10.423055675836617,1.5419494813019288,1.6787288241559717e-09,1.705752263764336e-07
Q14055,3.327950786447045,-1.3335130100809245,0.009547612843852075,0.024120894546687536
Q13451,0.16284548317650435,-0.03865453581005163,0.8727222914000395,0.9087130882210859
Q14011,0.3044228527994877,-0.08429676379927642,0.764126477992349,0.8221464120134623
P04040,-0.6095024431931924,0.06910506179751508,0.5496577236597477,0.6439465907667349
Q9BY50,-7.048923094172238,1.1976693973321204,6.498431367900953e-07,1.4027183978588274e-05
Q9P0M6,-0.34758463340422024,0.09705336715393109,0.7326885069400468,0.7996804610721078
Q9Y320,-0.8733714537315699,0.17203955050815622,0.4011760966684157,0.5025524422223212
O95202,-3.0724742532695313,0.46208605711092154,0.008543128407913882,0.022188698844993287
Q8TCT9,-5.987269049179854,1.360329799586025,1.0599089963641503e-05,0.00012214587918075447
O60783,0.5061520770841166,-0.10316297161541854,0.6181458349600126,0.7047719254639416
P25205,0.5577026036563015,-0.05031706620389009,0.5831788805136404,0.6743056386954832
P55042,-4.190032469212922,4.544489493461158,0.0010554845015528134,0.004348070433423154
Q14997,-3.8341819116528155,0.592420384490552,0.0014872121509350766,0.005571695882010368
Q13596,-0.11668893645995447,0.031043710810179093,0.9085611510748208,0.9359707604791552
Q6ZRP7,-6.7117724818,0.7761590594803476,1.8526019379732867e-05,0.00019056641169374597
Q86VN1,0.2963292172882399,-0.05748661599685434,0.7723669867321921,0.8287674224364404
Q96A65,-5.413927856695061,0.7281328085442595,6.191718247604187e-05,0.00048486274848720003
Q9NRX2,1.302370899717443,-0.2575585535972351,0.2151761862948178,0.3072049321810182
P63173,-3.3812404079382574,0.3713441147823584,0.005576074615082205,0.015943669764195242
O00571,-4.077759016878958,0.49251842751363917,0.000593574662457411,0.002772233232956922
P82914,-0.24229285936420047,0.08506818045291453,0.8114598701823011,0.8608458923298871
P26641,-0.9276171152755072,0.11645781734304528,0.3641896048658917,0.4644058444662702
Q08752,0.562658982889596,-0.16067908787492158,0.5830806329694146,0.6743056386954832
Q6NUQ4,-7.1381724327637,0.941031731579903,5.298123813313359e-07,1.199564337296927e-05
P32322,-6.245229000668744,0.5766886921680978,3.486155914266673e-06,5.168443252254434e-05
P16401,1.7685100343599882,-0.6125186398969333,0.10135357820559689,0.16689288806502633
A8MWD9,-1.2342735405085117,0.1420887773604349,0.23266479786047772,0.3264566904589747
Q92766,-0.6990976875319872,0.1937826089871404,0.4952722691349172,0.594098552610442
P52790,3.485703091041623,-0.8390640936583704,0.007390912676465046,0.019839266887985426
Q9BW91,0.5614670958364667,-0.06988159085369006,0.5850080189827855,0.6756704760416646
