,1hr_STAT,1hr_LOG2FC,1hr_PVAL,1hr_ADJPVAL
G3V180,-3.5710067303862862,0.5550511415102406,0.002352366602915962,0.011174411935858494
P11766,-0.34240854619984307,0.0731844295769104,0.7362537335656281,0.8133739204546292
Q8NB37,-1.7667783074456318,0.4368713703755205,0.14013907279966642,0.24376591953378302
Q9P0U4,-0.003470952178162997,0.0010678826772547723,0.9974387241005398,0.9985959029195259
Q99732,-0.30179434275718875,0.04925898630317249,0.785262887522447,0.8521773501284569
P26038,-2.362990727479917,0.45162799728897696,0.03030752267921513,0.07703547253301417
B5ME19,-0.32863879088737424,0.016743822609457837,0.7473029490324377,0.8220924440636745
Q9H9B1,2.6285461637305465,-0.5392834016382491,0.05751801449241842,0.1243487536976726
Q8WXF1,-3.481847031295757,0.4625602364534753,0.0037199719516737536,0.015711294798598386
P32970,0.3445682477284896,-0.03404199444887901,0.7395070316405661,0.8154913926277266
O60566,-2.7767569106059518,0.4449613370696426,0.01772914482329246,0.05165008205163384
Q7Z2K6,5.971692808646432,-1.1983712554781603,1.5273835114644915e-05,0.0003721882231366038
P12004,-1.869705842062783,0.36696178196797113,0.07885104627759638,0.15739983650812964
Q9UKA4,-2.2288955058360176,0.7073725956004928,0.10060302849595258,0.1891300616941058
Q9H330,0.0741148871300669,-0.0190955529947594,0.9418961160720887,0.9638760057863722
Q8IYI6,7.314461832005627,-1.0355056557971647,2.1073880534389665e-06,0.0001861205458883837
O94819,-3.754742693953329,0.3754292724636574,0.0024587677102907634,0.011522189292543667
P28482,-3.078185755150133,0.5581527422729167,0.006816227095894782,0.024996832818219773
Q9HB07,-3.9313924304158605,0.6713814893390708,0.0011225401593347886,0.0063799485726994945
Q9UKJ3,0.3192546801280255,-0.049732848967785515,0.7594825445823793,0.8329780192076156
Q9NZ45,8.019501506441564,-1.4300607457347816,7.456926820422422e-07,0.00016465590170683985
Q92618,0.7260104854024958,-0.1340611615451177,0.47961048681679863,0.6012811580134767
Q9NVK5,0.4054714693831564,-0.11757256993699272,0.7002032348299285,0.7860751544030903
V9GYM8,3.3726942614887463,-0.2664838190743257,0.03824889518537487,0.0920536668643973
P52888,-0.5554293421468081,0.17022392998703317,0.5984857973767863,0.7055155155267945
Q13510,-0.39439356023550476,0.1539796319697846,0.7178999989332036,0.7998853692312721
Q96K17,-2.8967861684320395,0.7007998455888256,0.025190795805518508,0.06697182854230384
Q8TC12,3.616506772103444,-0.5908780100962758,0.002560675643361055,0.011892725451774978
P55735,2.300751886539689,-0.45518940814552344,0.08762686040622643,0.16995041920499968
P61160,-1.7261459596753452,0.2485135944141028,0.1252660857048607,0.22426236057002566
F8W727,9.326450994536717,-0.7144154805409997,1.1168784460730039e-07,9.305831212680269e-05
J3QS41,-0.41115992268227863,0.04182434910650201,0.7013805651263758,0.7867397507583418
Q16658,-0.737944378628237,0.17417710544216725,0.4719481200601404,0.5947057829395711
P50148,3.142037692358852,-0.4389933656172271,0.04792576759588447,0.11000481972697228
P50213,3.488591244193519,-0.35518617695484167,0.004270070816953026,0.017254233776359172
P27701,3.6781524322110526,-1.8832671009317634,0.0018806208756532508,0.009448659400177896
A0A087WY31,-0.061528418457990355,0.01201585145271622,0.9517459720447812,0.9713311414842133
G8JLA2,0.04066210038212498,-0.009653305987249894,0.9694419994509496,0.9812185057610923
Q13153,0.8343230112873925,-0.20832404537391014,0.41581463848110733,0.5401570888407525
Q86X76,0.177270295433916,-0.04685294206708157,0.8639375344605733,0.9088797395360475
P34897,5.6212570219730145,-0.6924983532624331,5.287477139061072e-05,0.0007269844805718953
P08571,-2.0205101078209524,0.37800102806215286,0.06623178823400588,0.1378918689569558
P49916,1.805999384006208,-0.27538821345652664,0.08886127090583969,0.1718870155541688
Q9NRX4,-2.843598839461325,0.8566595408599706,0.011945806868286267,0.038135043228567506
A0A0A0MR51,0.8176567824911533,-0.15215723607379594,0.43512969960522085,0.5593182130686054
Q96S59,0.8303982114489311,-0.06089437155231714,0.4263885803051798,0.5499488623998077
A0A087WZM2,-0.45508902128800116,0.09054185763016243,0.655289910332574,0.7509442060935995
P28062,0.6789904643791168,-0.12439117918643561,0.5329256145825665,0.6503128618485565
O96019,-3.6519896878602083,0.3901818819930316,0.029145359291637637,0.074765743108967
Q15365,-1.4963509016102239,0.3330269946927409,0.1759186401021179,0.28913796861731694
P30533,1.3894198789895147,-0.25250978920218436,0.20075762153619478,0.3172823411683564
Q9UER7,-1.1147769923762272,0.5697690621160554,0.3668538586365562,0.493004250025772
O15305,-0.0020484379275671556,0.0004980093955708753,0.9983895822438597,0.9986418004846205
Q32P28,3.965386936902112,-0.41640205577759026,0.0023064498518502257,0.011057157747765294
Q8NDH3,-0.535416879658669,0.1308307717323025,0.6065630587921682,0.7122158125502177
Q12981,3.0753153520480985,-0.4029570410554211,0.03519287167636692,0.08605872081266432
Q9Y6K9,-0.8011183083075423,0.20604007127235135,0.4533776396644127,0.5770737454297447
O60678,1.7777849126213197,-0.3343483088853745,0.09739854119293481,0.1847900750136675
H0YM31,0.1167350311541488,-0.021351906199335247,0.9097645079668952,0.9418685239040968
Q7Z4W1,4.1905290994120366,-0.23359480065073157,0.0022230994610071175,0.0107691073890182
P12235,5.840831275816647,-1.290970335132135,2.5968020350536512e-05,0.0004744858455277856
Q8NBS9,-0.22311315390594225,0.03338842008554721,0.8275772658035392,0.8821961170840781
Q9Y6D9,-0.7314744059772178,0.10834464100542718,0.47535660032292815,0.5977469353894714
