,Uninfected_2hr_STAT,Uninfected_2hr_LOG2FC,Uninfected_2hr_PVAL,Uninfected_2hr_ADJPVAL
Q92542,0.5665568460442927,-0.17753118698997739,0.6157382882248952,0.6940383411106368
Q9HAF1,-1.1033836822116994,0.21617545231360502,0.3821412477314391,0.48542618523227626
O43148,9.735296812008215,-0.7063687873761015,0.0020145840588093418,0.03694419195986093
Q9Y679,-4.344496551862573,0.7335181451615327,0.012234333093659787,0.0742165866118125
O75592,-2.5832251579498733,0.39089459618243794,0.09915394305970093,0.1999396547854376
P25705,-9.261014832151236,0.8242951286127322,0.002823607543966765,0.0423134857128257
O94885,2.5858087415930386,-0.656794647695321,0.0918415692362205,0.1919779114089787
Q15020,-1.0252102071290357,0.17181081725430936,0.363469343868555,0.46713809058457934
A0A024R571,2.838731077049539,-1.689320027331318,0.1038120669010271,0.20521541587681535
E7EVA0,3.008940196798509,-0.6496355058769332,0.0480667638093519,0.13838710299223222
J3KPM9,5.4791892456074685,-0.8315511307094283,0.010297935970285407,0.06941941950195632
Q8IUR7,1.0732575023010864,-0.26378876349179414,0.3437271645701057,0.44664736595774157
P18206,4.902127513246673,-0.7068495308351963,0.01549899522995365,0.08288673540280679
O43242,-0.3105402469543049,0.059836761599310506,0.7746743128436275,0.8266632139617194
Q9Y5J6,-1.7644404832811789,0.7659549307271281,0.2171287329858268,0.32225223958971283
P31948,12.44065969313135,-1.3034216837991295,0.003602882881629096,0.04661369591573545
P19823,-3.9088773543405755,1.9380941981152482,0.05915524552883191,0.15251230223721524
P31946,10.650215936875654,-1.8912684336525007,0.002065566713828845,0.03696000220460576
Q86Y22,-2.0721931331273473,0.6695192308924174,0.1259422658275812,0.22961727765326184
P48637,14.966717944420834,-1.8040242250510063,0.00015794739154564917,0.020272521745726593
Q8NFH4,0.5475963783454276,-0.2078611157617427,0.6154385225066095,0.6940383411106368
Q9H061,-1.3234766331752095,0.5521858821148218,0.29944555162897013,0.40415603288885943
Q15555,5.350036487687978,-1.1810301135268748,0.009476817669412416,0.06795253426983154
Q9P0M6,-2.4126626659000103,0.9533009732525031,0.13429760900375293,0.23950506811200115
Q5VYS8,-1.6506396962023333,0.36036191672524964,0.18740141181673145,0.2932810975313686
Q5TDH0,4.096939368297032,-1.7403063586988488,0.015307585685553349,0.08255087080490638
Q14914,4.775726939375425,-2.860121306826425,0.023296072137912998,0.0977234992724068
O94927,-0.18314558738428383,0.031343812894645495,0.870948318299408,0.9061864870218116
Q9HBM1,4.0522786495595104,-1.6036867809190554,0.0528524787064728,0.1453355949116605
Q5TFE4,6.88660877615842,-2.7511092431410162,0.016988871576520154,0.08547782486447217
Q15397,-0.5333205088932274,0.21453848969254885,0.6469087396797609,0.7205940667128032
B8ZZN6,2.4967484627769134,-0.7273317997711981,0.10663223005267798,0.2083175273289398
D6RFN0,5.056538906468104,-0.8444459647605456,0.01137646819348804,0.07193291355695174
E9PCX5,-3.009031713834778,0.5216978272878325,0.08056996607135886,0.17848838266464173
